1-30'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
252.8G3, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
FK-001'CL, ANTI-PSEUDOMONAS AERUGINOSA EXOTOXIN A HYBRIDOMA
7E5'CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
CBA/J 7C6, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=12.0X10EXP5)
BR1'CL, ANTI-GM1 GANGLIOSIDE
G2b-2'CL, ANTI-PHOSPHORYLCHOLINE-KEYHOLE LIMPET HEMOCYANIN
X211'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
265.15D4'CL, ANTI-PHOSPHORYLCHOLINE (P. MORGANII) HYBRIDOMA
120, ANTI-MICROCOCCUS LYSODEIKTICUS
224.2B11'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
180.2B2'CL, ANTI-PHOSPHORYLCHOLINE (P. MORGANII) HYBRIDOMA
CH9'CL, ANTI-BROMELAIN-TREATED MOUSE ERYTHROCYTES
CH12'CL, ANTI-SHEEP AND CHICKEN RBC
221.2D10'CL, ANTI-PHOSPHORYLCHOLINE (P.MORGANII) HYBRIDOMA
56-1'CL, ANTI-PHOSPHORYLCHOLINE-KEYHOLE LIMPET HEMOCYANIN
2E126'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
BS1z63'CL, ANTI-PHOSPHORYLCHOLINE
T10-938'CL, ANTI-ANTI-HLA-A2,28 MAB CR11-351 COUPLED TO KEYHOLE LIMPET HEMOCYANIN
S107.U4, ANTI-DOUBLE-STRANDED DNA AND ANTI-PHOSPHORYLCHOLINE-KLH
252.5E10'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
HPCM2, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=3.5X10EXP5)
NC19-E11'CL, ANTI-PHOSPHATIDYL CHOLINE
N25'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
aPC-51-1'CL, ANTI-PHOSPHORYLCHOLINE COUPLED TO KLH AND BSA HYBRIDOMA (GROUP I)
B6''CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
2E50'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
129, ANTI-PHOSPHOTYROSYLPROTEIN
5E2'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
WO1'CL, ANTI-GM1 GANGLIOSIDE
P28'CL, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA
O25G3D6'CL, ANTI-PSEUDOMONAS AERUGINOSA LIPOPOLYSACCHARIDE O6 O-ANTIGEN
3-9'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
71-2H11'CL, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA
99D.7E'CL, ANTI-DSDNA, ANTI-PHOSPHORYLCHOLINE
221.3G5''CL, ANTI-PHOSPHOCHOLINE-SPECIFIC DETERMINANT IN PROTEUS MORGANII
BSb58'CL, ANTI-PHOSPHORYLCHOLINE
BC-1004'CL, ANTI-BLOOD GROUP B SUBSTANCE HYBRIDOMA
224.7E7'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
101'CL, ANTI-PSEUDOMONAS AERUGINOSA LIPOPOLYSACCHARIDE OUTER CORE
WSd20'CL, ANTI-PHOSPHORYLCHOLINE
1E10''CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
C57BL 23169, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA (BINDING CONSTANT=3.0X10EXP5)
BSc27'CL, ANTI-PHOSPHORYLCHOLINE
