mAb1.C8'CL, ANTI-N-ACETYL-BETA-D-GLUCOSAMINE (THE DOMINANT EPITOPE OF THE GROUP A STREPTOCOCCAL CARBOHYDRATE) & ANTI-HUMAN CARDIAC MYOSIN
Ha1'CL, ANTI-DISIALOSYL
SC6'CL, ANTI-MCPS
cAbAMD7, ANTI-ALPHA-AMYLASE
J606, ANTI-BETA 2,1 FRUCTOSAN
BMA 031 VL'CL, HUMAN TCR-ALPHA/BETA
HDEX1, ANTI-ALPHA 1,3 ALPHA 1,6 DEXTRAN HYBRIDOMA
10.16.1'CL, ANTI-ALPHA 1,6 DEXTRAN HYBRIDOMA
HB4C5'CL, ANTI-HUMAN LUNG ADENOCARCINOMA
DN13'CL, ANTI-MCPS
66.3E3'CL, ANTI-GROUP A STREPTOCOCCAL CARBOHYDRATE HYBRIDOMA
G01, ANTI-LYSOZYME HYBRIDOMA
XRPC44, ANTI-BETA 1,6 D-GALACTAN
42.7B3.2a'CL, ANTI-ALPHA 1,6 DEXTRAN
1-8'CL, ANTI-SM HYBRIDOMA
F3F3'CL, ANTI-DEXTRAN B512
DN7'CL, ANTI-MCPS
A5B9'CL, ANTI-ALPRENOLOL HYBRIDOMA
7-13'CL, ANTI-SM HYBRIDOMA
SC9'CL, ANTI-MCPS
HDEX7, ANTI-ALPHA 1,3 ALPHA 1,6 DEXTRAN HYBRIDOMA
EPC109, ANTI-BETA 2,1 FRUCTOSAN (BINDING CONSTANT=6.6X10EXP5)
Y2''CL, ANTI-SM HYBRIDOMA
2S1.3, ANTI-STREPTOCOCCAL GROUP A CARBOHYDRATE, ANTI-BETA-1,3-N-ACETYL-D-GLUCOSAMINE
F12H3'CL, ANTI-DEXTRAN B512
40-120, ANTI-DIGOXIN
5B5'CL, ANTI-SM HYBRIDOMA
10/2'CL, ANTI-GAL ALPHA 1-3 GAL BETA 1-4 GLCNAC-R (BINDING CONSTANT=1.1X10EXP6)
3-56'CL, ANTI-SM HYBRIDOMA
3A9'CL, ANTI-GALACTOSYLGLOBOSIDE
ABPC47N, ANTI-BETA 2,1 FRUCTOSAN (BINDING CONSTANT=2.2X10EXP5)
SC10'CL, ANTI-MCPS
B04, ANTI-LYSOZYME HYBRIDOMA
40-140, ANTI-DIGOXIN
SC2'CL, ANTI-MCPS
D06, ANTI-LYSOZYME HYBRIDOMA
1-12'CL, ANTI-SM HYBRIDOMA
25C10, ANTI-LYSOZYME HYBRIDOMA
anti-DigA'CL, ANTI-DIGOXIGENIN
11-50'CL, ANTI-LACTOTETRAOSYLCERAMIDE
J539, ANTI-BETA 1,6 D-GALACTAN
4.8.1'CL, ANTI-ALPHA 1,6 DEXTRAN HYBRIDOMA
HDEX37, ANTI-ALPHA 1,3 ALPHA 1,6 DEXTRAN HYBRIDOMA
129-48'CL, ANTI-IGG HYBRIDOMA
36.2.2'CL, ANTI-STREPTOCOCCAL M PROTEIN, MYOSIN, LIGHT MEROMYOSIN, TROPOMYOSIN, KERATIN
