HIV-b5'CL, ANTI-HIV-1 GP120
FS6, ANTI-VH4-34
FS11, ANTI-VH4-34
HIV-LC11'CL, ANTI-HIV-1 GP120
SiP008'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
SiP011'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
Ann2'CL, ANTI-POLYSACCHARIDE OF HEMOPHILUS INFLUENZAE TYPE B
H37-45'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
AP.2.9'CL, ANTI-HIV-1 GP120 V3 LOOP
VM113'CL, ANTI-PR8 (H1N1) VIRUS VARIANT (PY102-V1)
SiP002'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
ToPA210'CL, ANTI-HAEMOPHILUS INFLUENZAE TYPE B CAPSULAR POLYSACCHARIDE
AL3-7'CL, ANTI-POLYCATION
HuRSV19VHFNS, ANTI-HUMAN RESPIRATORY SYNCYTIAL VIRUS
DO142-10'CL, ANTI-HIV-1 GP120
ToP249'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
3D6'CL, NONNEUTRALIZING ANTI-HIV-1 GP41
H18-S415'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
SiP016'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
36-5'CL, ANTI-INFLUENZA VIRUS (A/PR/8/34) HEMAGGLUTININ
HIV-b7'CL, ANTI-HIV-1 GP120
ToP255'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
AL3-6'CL, ANTI-POLYCATION
17/9'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HA1 (RESIDUES 75-110) HYBRIDOMA
L34'CL, ANTI-HIV-1 GP120
HIV-B8'CL, ANTI-HIV-1 GP120
SOL1'CL, ANTI-HAEMOPHILUS INFLUENZAE TYPE B CAPSULAR POLYSACCHARIDE (HIB PS)
HIV-HC12'CL, ANTI-HIV-1 GP120
ITC48'CL, ANTI-MAJOR NEUTRALIZATION DETERMINANT (AD-1) OF HUMAN CYTOMEGALOVIRUS GLYCOPROTEIN B (GP58/116)
H220-25'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
ToP207'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
ToP237'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
rev9Fd'CL, ANTI-HIV I REV
H144-17C5'CL, ANTI-CA/CB SITE OF INFLUENZA VIRUS A/PR/8/34 HEMAGGLUTININ (PR8 HA)
402P5-F10, ANTI-HIV GP120 V3-LOOP (K OFF = 1.1 X 10EXP-4 SEC-1)
HIV-HC10'CL, ANTI-HIV-1 GP120
H220-3'CL, ANTI-INFLUENZA VIRUS (A/PR/8/34) HEMAGGLUTININ SECONDARY ANTIBODIES (SB) HYBRIDOMA
ToP101'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
H28-A2'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
S1-1'CL, ANTI-HIV GP120
mAb107'CL, ANTI-RABIES VIRUS
GP68'CL, ANTI-V3 DOMAIN OF HIV-1 GP120.
3D5'CL, NEUTRALIZING ANTI-HIV-1
ITC33'CL, ANTI-MAJOR NEUTRALIZATION DETERMINANT (AD-1) OF HUMAN CYTOMEGALOVIRUS GLYCOPROTEIN B (GP58/116)
A9'CL, ANTI-GP41
HT, ANTI-VH4-34
SiP003'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
HIV-b24'CL, ANTI-HIV-1 GP120
BS.1.22'CL, ANTI-HIV-1 GP120 V3 LOOP
L100'CL, ANTI-HIV-1 GP120
