KIM46H'CL, ANTI-DNA HYBRIDOMA
Ha1'CL, ANTI-DISIALOSYL
PL2-8'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
79'CL, ANTI-DSDNA
73-2'CL, ANTI-DNA
K (VH36-60)'CL, ANTI-(T,G)-A--L
17s.166'CL, ANTI-DNA
PL2-2'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
2E3'CL, ANTI-DNA
3.A290'CL, ANTI-DNA AUTOANTIBODY.
D5, ANTI-DNA
15'CL, ANTI-DSDNA
MRL3-45'CL, ANTI-DNA
120, ANTI-MICROCOCCUS LYSODEIKTICUS
CAL-9'CL, ANTI-CARDIOLIPIN
64.8DI'CL, ANTI-DNA
BW24-28'CL, ANTI-DNA
84-20'CL, ANTI-DNA
F12.40D3'CL, ANTI-DSDNA
MRA1K'CL, ANTI-HISTONE
NP11-1'CL, ANTI-DNA
202.33'CL, ANTI-DNA
NP5-1'CL, ANTI-DNA
3E12'CL, ANTI-DNA
BW24-P18'CL, ANTI-DNA
D444'CL, ANTI-RNA AUTOANTIBODY, ANTI-POLY(G,C) HYBRIDOMA
Ig5-3'CL, ANTI-DNA
Z22'CL, ANTI-Z-DNA
33.1.C2'CL, ANTI-CD5
S107.U4, ANTI-DOUBLE-STRANDED DNA AND ANTI-PHOSPHORYLCHOLINE-KLH
h60.3'CL, ANTI-CD18
1/17'CL, ANTI-DNA AUTOANTIBODY HYBRIDOMA
BA1224-2'CL, ANTI-DSDNA
L25'CL, AUTOANTIBODY
70.1.4'CL, ANTI-DNA, ACTIN, MYOSIN, THYROGLOBULIN
2E1'CL, ANTI-NUCLEOSOME, TOTAL HISTONE, H2A-H2B DIMER
NEO C72-3A1'CL, ANTI-(T,G)-A--L
74.119'CL, ANTI-DNA
4D5'CL, ANTI-DNA
BKV1'CL, ANTI-DSDNA
163.42'CL, ANTI-DNA
H102'CL, ANTI-SSDNA AUTOANTIBODY
MRL2-14'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
L42'CL, AUTOANTIBODY
B62.H'CL, ANTI-DNA,POLY(DG)
165.27'CL, ANTI-DNA
AKR-6'CL, ANTI-DNA
B/SB5-18'CL, ANTI-H2A/H2B
anti-DigA'CL, ANTI-DIGOXIGENIN
BKD17'CL, ANTI-DNA
IC4'CL, ANTI-DNA
GAR, ANTI-RIBOFLAVIN
MRL2-146'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
202.54'CL, ANTI-DNA
BKV22'CL, ANTI-DSDNA
T33-2'CL, ANTI-DNA
BW9-7'CL, ANTI-DNA
AKR-8'CL, ANTI-DNA
MRL2-171'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
MRL1-45'CL, ANTI-SSDNA, ANTI-HOMOGENEOUS NUCLEAR
BW16B2'CL, ANTI-DSDNA
NZW11F7'CL, ANTI-DSDNA
TH3'CL, ANTI-SSDNA, IGG HYBRIDOMA
BKV22'CL, ANTI-DSDNA
84-32'CL, ANTI-DNA
BV16-13'CL, ANTI-DSDNA (95%), SSDNA (28%)
