A.4.6.1, ANTI-HUMAN VASCULAR ENDOTHELIAL GROWTH FACTOR (VEGF)
10/9'CL, ANTI-MONOCLONAL ANTIIDIOTYPIC ANTIBODY IDA10 HYBRIDOMA
I15'CL, ANTI-RH(D)
MGC23'CL, ANTI-NUCLEOSOME
AD8/11'CL, ANTI-ERYTHROCYTE RH(D) 
EL-5'CL, ANTI-FACTOR VIII
B7H9'CL, ANTI-TETANUS TOXOID
2G5'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
scFv-4C1'CL, ANTI-SCORPION TOXIN AAHII
KO3-335'CL, ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
IgMGAS'CL, COLD AGGLUTININ OF ANTI-GD SPECIFICITY
B-B10 M0'CL, ANTI-HUMAN IL-2 RECEPTOR
126AK'CL, ANTI-THYROID PEROXIDASE (TPO)
RF-TMC1'CL, RHEUMATOID FACTOR AUTOANTIBODY
11E6'CL, EARLY ANTI-NUCLEOSOME AUTOANTIBODY (KD = 2.1X10EXP-8)
D20'CL, ANTI-RH(D)
RF-DI3'CL, RHEUMATOID FACTOR
HuCC49'CL, ANTI-TUMOR-ASSOCIATED GLYCOPROTEIN-72 (TAG-72)
2C5'CL, ANTI-MOUSE CYTOCHROME C AROUND RESIDUE 62
HA-9'CL, ANTI-ERYTHROCYTE
PE21'CL, ANTI-HUMAN PROENKEPHALIN, A NEUROPEPTIDE PRECURSOR
1F1'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
CLONE 4D5'CL, ANTI-HUMAN RED BLOOD CELL
C03'CL, ANTI-RH(D)
RF-1 PAN'CL, ANTI-IGG-PAN RHEUMATOID FACTOR
RF-1'CL, ANTI-IGG1 RHEUMATOID FACTOR
HB4C5'CL, ANTI-HUMAN LUNG ADENOCARCINOMA
LWA10'CL, ANTI-B CELL AUTOANTIBODY
M2 191'CL, ANTI-MOUSE TYPE II COLLAGEN
M22'CL, ANTI-HUMAN HIGH BINDING AFFINITY RECEPTOR FOR FC OF IGG (FCGRI)
2E5.G10'CL, ANTI-RAT CYTOCHROME C HYBRIDOMA
2INL11'CL, ANTI-HUMAN INSULIN
SP1.4'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
2-7'CL, ANTI-IGG2A
LN2 346'CL, ANTI-MOUSE TYPE II COLLAGEN
S2B154'CL, ANTI-ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
gammaR38'CL, ANTI-HUMAN INTERFERON GAMMA RECEPTOR
25E12'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
G01, ANTI-LYSOZYME HYBRIDOMA
