252.8G3, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
265.15D4'CL, ANTI-PHOSPHORYLCHOLINE (P. MORGANII) HYBRIDOMA
224.2B11'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
180.2B2'CL, ANTI-PHOSPHORYLCHOLINE (P. MORGANII) HYBRIDOMA
221.2D10'CL, ANTI-PHOSPHORYLCHOLINE (P.MORGANII) HYBRIDOMA
637'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
BS1z63'CL, ANTI-PHOSPHORYLCHOLINE
S107.U4, ANTI-DOUBLE-STRANDED DNA AND ANTI-PHOSPHORYLCHOLINE-KLH
66'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
252.5E10'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
70'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
NC19-E11'CL, ANTI-PHOSPHATIDYL CHOLINE
aPC-51-1'CL, ANTI-PHOSPHORYLCHOLINE COUPLED TO KLH AND BSA HYBRIDOMA (GROUP I)
P28'CL, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA
71-2H11'CL, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA
99D.7E'CL, ANTI-DSDNA, ANTI-PHOSPHORYLCHOLINE
BSb58'CL, ANTI-PHOSPHORYLCHOLINE
224.7E7'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
WSd20'CL, ANTI-PHOSPHORYLCHOLINE
BSc27'CL, ANTI-PHOSPHORYLCHOLINE
