KIM46H'CL, ANTI-DNA HYBRIDOMA
79'CL, ANTI-DSDNA
73-2'CL, ANTI-DNA
17s.166'CL, ANTI-DNA
2E3'CL, ANTI-DNA
D5, ANTI-DNA
15'CL, ANTI-DSDNA
MRL3-45'CL, ANTI-DNA
64.8DI'CL, ANTI-DNA
BW24-28'CL, ANTI-DNA
84-20'CL, ANTI-DNA
F12.40D3'CL, ANTI-DSDNA
NP11-1'CL, ANTI-DNA
202.33'CL, ANTI-DNA
NP5-1'CL, ANTI-DNA
3E12'CL, ANTI-DNA
BW24-P18'CL, ANTI-DNA
Ig5-3'CL, ANTI-DNA
Z22'CL, ANTI-Z-DNA
S107.U4, ANTI-DOUBLE-STRANDED DNA AND ANTI-PHOSPHORYLCHOLINE-KLH
BA1224-2'CL, ANTI-DSDNA
74.119'CL, ANTI-DNA
4D5'CL, ANTI-DNA
BKV1'CL, ANTI-DSDNA
163.42'CL, ANTI-DNA
MRL2-14'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
B62.H'CL, ANTI-DNA,POLY(DG)
165.27'CL, ANTI-DNA
AKR-6'CL, ANTI-DNA
BKD17'CL, ANTI-DNA
99D.7E'CL, ANTI-DSDNA, ANTI-PHOSPHORYLCHOLINE
IC4'CL, ANTI-DNA
MRL2-146'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
202.54'CL, ANTI-DNA
BKV22'CL, ANTI-DSDNA
T33-2'CL, ANTI-DNA
BW9-7'CL, ANTI-DNA
AKR-8'CL, ANTI-DNA
MRL2-171'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
MRL1-45'CL, ANTI-SSDNA, ANTI-HOMOGENEOUS NUCLEAR
BW16B2'CL, ANTI-DSDNA
NZW11F7'CL, ANTI-DSDNA
BKV22'CL, ANTI-DSDNA
84-32'CL, ANTI-DNA
BV16-13'CL, ANTI-DSDNA (95%), SSDNA (28%)
