Ha1'CL, ANTI-DISIALOSYL
B-B10 M0'CL, ANTI-HUMAN IL-2 RECEPTOR
K (VH36-60)'CL, ANTI-(T,G)-A--L
HUM1A1L1'CL, KIM11.4
120, ANTI-MICROCOCCUS LYSODEIKTICUS
BMA 031 VL'CL, HUMAN TCR-ALPHA/BETA
CLONE 4D5'CL, ANTI-HUMAN RED BLOOD CELL
HB4C5'CL, ANTI-HUMAN LUNG ADENOCARCINOMA
CH12'CL, ANTI-SHEEP AND CHICKEN RBC
A2/69'CL, ANTI-IDIOTOPE HYBRIDOMA
CLONE 4E9'CL, ANTI-HUMAN RED BLOOD CELL
mAb735, ANTI-ALPHA(2,8)POLYSIALIC ACID
NEO C72-3A1'CL, ANTI-(T,G)-A--L
MAC188'CL, ANTI-LDL RECEPTOR
CH1'CL, ANTI-E. COLI
23'CL, ANTI-LE X, SIALYL LE X, NLACCER
BC-1004'CL, ANTI-BLOOD GROUP B SUBSTANCE HYBRIDOMA
