1-30'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
FS6, ANTI-VH4-34
A.4.6.1, ANTI-HUMAN VASCULAR ENDOTHELIAL GROWTH FACTOR (VEGF)
10/9'CL, ANTI-MONOCLONAL ANTIIDIOTYPIC ANTIBODY IDA10 HYBRIDOMA
I15'CL, ANTI-RH(D)
MGC23'CL, ANTI-NUCLEOSOME
AD8/11'CL, ANTI-ERYTHROCYTE RH(D) 
FS11, ANTI-VH4-34
EL-5'CL, ANTI-FACTOR VIII
mAb1.C8'CL, ANTI-N-ACETYL-BETA-D-GLUCOSAMINE (THE DOMINANT EPITOPE OF THE GROUP A STREPTOCOCCAL CARBOHYDRATE) & ANTI-HUMAN CARDIAC MYOSIN
C488-32B'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
PL2-8'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
FK-001'CL, ANTI-PSEUDOMONAS AERUGINOSA EXOTOXIN A HYBRIDOMA
B7H9'CL, ANTI-TETANUS TOXOID
2G5'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
scFv-4C1'CL, ANTI-SCORPION TOXIN AAHII
KO3-335'CL, ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
IgMGAS'CL, COLD AGGLUTININ OF ANTI-GD SPECIFICITY
126AK'CL, ANTI-THYROID PEROXIDASE (TPO)
7E5'CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
RF-TMC1'CL, RHEUMATOID FACTOR AUTOANTIBODY
cAbAMD7, ANTI-ALPHA-AMYLASE
11E6'CL, EARLY ANTI-NUCLEOSOME AUTOANTIBODY (KD = 2.1X10EXP-8)
D20'CL, ANTI-RH(D)
PL2-2'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
3.A290'CL, ANTI-DNA AUTOANTIBODY.
CBA/J 7C6, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=12.0X10EXP5)
BR1'CL, ANTI-GM1 GANGLIOSIDE
G2b-2'CL, ANTI-PHOSPHORYLCHOLINE-KEYHOLE LIMPET HEMOCYANIN
RF-DI3'CL, RHEUMATOID FACTOR
X211'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
HuCC49'CL, ANTI-TUMOR-ASSOCIATED GLYCOPROTEIN-72 (TAG-72)
2C5'CL, ANTI-MOUSE CYTOCHROME C AROUND RESIDUE 62
HA-9'CL, ANTI-ERYTHROCYTE
PE21'CL, ANTI-HUMAN PROENKEPHALIN, A NEUROPEPTIDE PRECURSOR
