CH12'CL, ANTI-SHEEP AND CHICKEN RBC
B-B10 M0'CL, ANTI-HUMAN IL-2 RECEPTOR
A2/69'CL, ANTI-IDIOTOPE HYBRIDOMA
120, ANTI-MICROCOCCUS LYSODEIKTICUS
ITC33'CL, ANTI-MAJOR NEUTRALIZATION DETERMINANT (AD-1) OF HUMAN CYTOMEGALOVIRUS GLYCOPROTEIN B (GP58/116)
HUM1A1L1'CL, KIM11.4
BC-1004'CL, ANTI-BLOOD GROUP B SUBSTANCE HYBRIDOMA
MAC188'CL, ANTI-LDL RECEPTOR
BMA 031 VL'CL, HUMAN TCR-ALPHA/BETA
Ha1'CL, ANTI-DISIALOSYL
HB4C5'CL, ANTI-HUMAN LUNG ADENOCARCINOMA
CLONE 4E9'CL, ANTI-HUMAN RED BLOOD CELL
CLONE 4D5'CL, ANTI-HUMAN RED BLOOD CELL
CH1'CL, ANTI-E. COLI
