Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQ16.38.18'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Mb_09-H'CL, DINI-TRO-PHENYL
43SNQP27, 2 PHENY-LOX-A-ZOL-ONE
Mb_22-H'CL, DINI-TRO-PHENYL
NQT17/45D'CL, 2 PHENY-LOX-A-ZOL-ONE
129'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
NQT15/24B'CL, 2 PHENY-LOX-A-ZOL-ONE
S43'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
47SNQP20, 2 PHENY-LOX-A-ZOL-ONE
MOPC 460'CL, DINI-TRO-PHENYL HY-BRIDO-MA
AB4'CL, ACETYL-CHOLINE RE-CEP-TOR
H1-70'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
NQT15/2B'CL, 2 PHENY-LOX-A-ZOL-ONE
113FU'CL, FLU-O-RES-CEIN
Day 2 15-167-8'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQ7 1.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
H1-39'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Jc_51-H'CL, DINI-TRO-PHENYL
Da_10-H'CL, DINI-TRO-PHENYL
119-22'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
NQ11.8.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
La 18-H'CL, DNP
Fb_06-H'CL, DINI-TRO-PHENYL
MMW.2.6.9'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Lb 15-H'CL, DNP
HV3P8'CL, FLU-O-RES-CEIN
Fc_03-H'CL, DINI-TRO-PHENYL
C6-8-2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL CON-JU-GAT-ED CHICK-EN GAM-MA GLOB-U-LIN
NQ10 12.4.6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NL-112-9'CL, AMINOPHENYL BE-TA N ACETYL-GLU-COSAMINIDE  BE-TA 1 6 POLY D COU-PLED TO BSA
d9/13'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.7.9'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
CH1H12'CL, FLU-O-RES-CEIN
mAb A''CL, HALOPERI-DOL.
o'CL, 2 PHENY-LOX-A-ZOL 5 ONE
3-13'CL, FLU-O-RESCYL HAP-TEN
JD31'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
L'CL, 2 PHENY-LOX-A-ZOL 5 ONE
FF61-2-E6'CL, P AZOPHENY-LAR-SON-ATE
FF29-12-5'CL, P AZOPHENY-LAR-SON-ATE
10C3'CL, MOR-PHINE
3B9'CL, MOR-PHINE
FF29-36-10'CL, P AZOPHENY-LAR-SON-ATE
N'CL, 2 PHENY-LOX-A-ZOL 5 ONE
C041'CL, NI-TRO-PHENYL
FF29-39-3'CL, P AZOPHENY-LAR-SON-ATE
ABA2'-4'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1.0X10-EX-P7
MOR35'CL, MOR-PHINE
FF29-15-4'CL, P AZOPHENY-LAR-SON-ATE
P'CL, 2 PHENY-LOX-A-ZOL 5 ONE
V-K10 ARS-A'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
48G7'CL, NI-TRO-PHENYL PHOS-PHO-NATE TRAN-SI-TION STATE ANA-LOGUE 3 CAT-ALYT-IC AN-TI-BODY
FF29-36-9'CL, P AZOPHENY-LAR-SON-ATE
NC10.10'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
PJ14'CL, PHOX
u'CL, 2 PHENY-LOX-A-ZOL 5 ONE
NC10.1'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
MOR76'CL, MOR-PHINE
AZ-6'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
R'CL, 2 PHENY-LOX-A-ZOL 5 ONE
AZ-14'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
GP1'CL, AR-SON-ATE HY-BRIDO-MA
3F29-4-4'CL, P AZOPHENY-LAR-SON-ATE
Guo-1'CL, QUANO-S-INE
1P1C'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=3.8X10-EX-P5
R16.7 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
1G10'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
91A3 CRI-, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
10K44-7A1, P AZOPHENY-LAR-SON-ATE
U22B5 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA  BALB C
T'CL, 2 PHENY-LOX-A-ZOL 5 ONE
PERU1'CL, P AZOPHENY-LAR-SON-ATE
AJ2'CL, P AZOPHENY-LAR-SON-ATE
D2.3'CL, NI-TROBEN-ZYL PHOS-PHO-NATE  TRAN-SI-TION STATE ANA-LOG
HF5.49'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
MOR158'CL, MOR-PHINE
AKR2'CL, P AZOPHENY-LAR-SON-ATE
9A6'CL, TRINI-TRO-PHENYL HY-BRIDO-MA
FF57-9-7'CL, P AZOPHENY-LAR-SON-ATE
37A4'CL, AL-PRENOLOL HY-BRIDO-MA
26C2'CL, P AZOPHENY-LAR-SON-ATE
101F11, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
FF29-12-2'CL, P AZOPHENY-LAR-SON-ATE
FF61-2-E3'CL, P AZOPHENY-LAR-SON-ATE
mAb A'CL, HALOPERI-DOL.
24F3'CL, P AZOPHENY-LAR-SON-ATE
93G7 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
10K26-12A1, P AZOPHENY-LAR-SON-ATE
mAb E''CL, HALOPERI-DOL.
anti-Test'CL, TESTOS-TER-ONE  BIND-ING CON-STANT = 5.41 X 10-EX-P7
anti-DigB'CL, DIGOX-I-GENIN  BIND-ING CON-STANT = 1.15 X 10-EX-P7
22B5'CL, AR-SON-ATE HY-BRIDO-MA
T077'CL, NI-TRO-PHENYL
T099'CL, NI-TRO-PHENYL
FF29-15-1'CL, P AZOPHENY-LAR-SON-ATE
FF29-36-6'CL, P AZOPHENY-LAR-SON-ATE
36-60 CRI-, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1.4X10-EX-P6
93G7, AR-SON-ATE
NEWM, 3  3  HY-DROXY 3  7  11  15  TETRAM-ETHYL HEX-ADE-CYL  2 METHYL 1 4 NAPH-THO-QUIN-ONE VIT.K1OH
123E6 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
A10'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
MOR39'CL, MOR-PHINE
NC10.8'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
Mab13-1, MESO TETRAKIS 4 CAR-BOXYPHENYL POR-PHYRIN  TCPP
CNJ19'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
B9'CL, DE-SIPRAM-INE
CNJ157'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
C039'CL, NI-TRO-PHENYL
R19.9'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
