RP93'CL, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
WSc44'CL, PHOS-PHO-RYL-CHOLINE
WS2z06'CL, PHOS-PHO-RYL-CHOLINE
MOPC167, PHOS-PHO-RYL-CHOLINE BIND-ING CON-STAN-T=1.2 TO 1.9X10-EX-P5
CBBPC-3, PHOS-PHO-RYL-CHOLINE
HPCG11, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
aPC-59-D4'CL, PHOS-PHO-RYL-CHOLINE COU-PLED TO KLH AND BSA HY-BRIDO-MA  GROUP I
BSb51'CL, PHOS-PHO-RYL-CHOLINE
aPC-23-1'CL, PHOS-PHO-RYL-CHOLINE COU-PLED TO KLH AND BSA HY-BRIDO-MA  GROUP I
G1-2'CL, PHOS-PHO-RYL-CHOLINE KEY-HOLE LIMPET HEMO-CYANIN
198.5C8'CL, PHOS-PHO-RYL-CHOLINE  P. MOR-GANII  HY-BRIDO-MA
BSb44'CL, PHOS-PHO-RYL-CHOLINE
HPCG13, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA BIND-ING CON-STAN-T=1.8X10-EX-P5
198.3D3'CL, PHOS-PHO-RYL-CHOLINE  P. MOR-GANII  HY-BRIDO-MA
CAL-11'CL, CAR-DI-OLIPIN
251.9C6'CL, PHOS-PHO-RYL-CHOLINE  P.-MOR-GANII  HY-BRIDO-MA
253.12G5'CL, PHOS-PHO-RYL-CHOLINE  S.P-NEU-MO-NI-AE STR. R36A  HY-BRIDO-MA
CAL-13'CL, CAR-DI-OLIPIN
C57BL 293, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA BIND-ING CON-STAN-T=6.3X10-EX-P5
BSa37'CL, PHOS-PHO-RYL-CHOLINE
CAL-15'CL, CAR-DI-OLIPIN
265 abs'CL, PHOS-PHO-RYL-CHOLINE  P.-MOR-GANII  HY-BRIDO-MA
1411E.3b'CL, PHOS-PHO-RYL-CHOLINE  DS-D-NA
CAL-17'CL, CAR-DI-OLIPIN
222.1D1'CL, PHOS-PHO-RYL-CHOLINE  P.-MOR-GANII  HY-BRIDO-MA
CAL-18'CL, CAR-DI-OLIPIN
221.3G5'CL, PHOS-PHO-RYL-CHOLINE  P.-MOR-GANII  HY-BRIDO-MA
BSc51'CL, PHOS-PHO-RYL-CHOLINE
HPCG14, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA BIND-ING CON-STAN-T=4.4X10-EX-P5
McPC603, PHOS-PHO-RYL-CHOLINE
198.4D9'CL, PHOS-PHO-RYL-CHOLINE  P. MOR-GANII  HY-BRIDO-MA
CAL-19'CL, CAR-DI-OLIPIN
98-1F5'CL, PHOS-PHO-RYL-CHOLINE KEY-HOLE LIMPET HEMO-CYANIN HY-BRIDO-MA
HPCG12, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
180.6D10'CL, PHOS-PHO-RYL-CHOLINE  P. MOR-GANII  HY-BRIDO-MA
1410E.10e'CL, PHOS-PHO-RYL-CHOLINE  DS-D-NA
HPCA97'CL, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
aPC-28-1'CL, PHOS-PHO-RYL-CHOLINE COU-PLED TO KLH AND BSA HY-BRIDO-MA  GROUP I
G1-9'CL, PHOS-PHO-RYL-CHOLINE KEY-HOLE LIMPET HEMO-CYANIN
CBA/N 1B8E5, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
11E7-1'CL, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
HPCM3, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA BIND-ING CON-STAN-T=3.4X10-EX-P4
