SW2-17'CL, DNA
BW24-G11'CL, DNA
84-14'CL, DNA
84-37'CL, DNA
DNA11'CL, CALF THY-MUS DNA HY-BRIDO-MA
BW21D11'CL, DS-D-NA
73-4'CL, DNA
BW9-8'CL, DNA
F7.27G6'CL, DS-D-NA
17s.2'CL, DNA
BW15D6F2'CL, DS-D-NA
83'CL, DS-D-NA
BKV39'CL, DS-D-NA
BW14C7B1'CL, DS-D-NA
MRL3-38'CL, DNA
192VH9'CL, MIR
NZB/NZW-11'CL, DNA
F2-22'CL, DNA
H05'CL, DNA
SP19-1'CL, DNA
B122'CL, DE-NA-TURED DNA  PLATELET
DP13'CL, DNA
NP11-2'CL, DNA
BW5F2'CL, DS-D-NA
Z44'CL, Z DNA
NZB/NZW-9'CL, DNA
165.41'CL, DNA
DNA6'CL, CALF THY-MUS DNA HY-BRIDO-MA
BKV39'CL, DNA
A10'CL, SS-D-NA  DS-D-NA  CAR-DI-OLIPIN  POLY DT  HEN EGG LYSOZYME
PopVK'CL, DNA  MYELIN
17s.128'CL, DNA
18/9'CL, DNA
MRL4-140, DNA  NU-CLE-AR
RR.VH1.1'CL, CAR-DI-OLIPIN SS-D-NA AU-TOAN-TI-BODY
1.8'CL, DS-D-NA
19-19B1'CL, AN-IT DOU-BLE STRAND-ED DNA
564'CL, DNA AU-TOAN-TI-BODY
BA1224-2'CL, DOU-BLE STRAND-ED DNA
L2F10'CL, SS-D-NA AU-TOAN-TI-BODY
C3H-5'CL, DNA
T21-9'CL, DNA AU-TOAN-TI-BODY
MRL3-21'CL, SS-D-NA  HO-MO-GE-NEOUS NU-CLE-AR
202.17'CL, DNA
2A4'CL, DNA
MRL1-29'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
73-1'CL, DNA
AKR-3'CL, DNA
VK2.R149'CL, CAR-DI-OLIPIN SS-D-NA AU-TOAN-TI-BODY
BW6F11'CL, DS-D-NA
17s.21'CL, DNA
ABD4-lam3'CL, DS-D-NA
A30c'CL, DS-D-NA AU-TOAN-TI-BODY
SW3-13'CL, DNA
F2-15'CL, DNA
163.72'CL, DNA
MRL1-20'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
MRL2-51 l'CL, SS-D-NA  HO-MO-GE-NEOUS NU-CLE-AR
6Q'CL, DNA
165.45'CL, DNA
Amu6-3'CL, DNA
111.100'CL, DNA
F12.40G2'CL, DS-D-NA
50'CL, DS-D-NA
165.3'CL, DNA
MRL-DNA10'CL, SIN-GLE STRAND DNA HY-BRIDO-MA
BA145D-2'CL, DS-D-NA
MRL1-333'CL, SS-D-NA  HO-MO-GE-NEOUS NU-CLE-AR
28'CL, DS-D-NA
6G6''CL, DNA
12'CL, DNA AU-TOAN-TI-BODY
MRL1-33.2'CL, DNA
PL2-6'CL, SUB-NU-CLE-O-SOMES  H2A H2B DNA
9500'CL, DE-NA-TURED DNA  PLATELET
N4-19'CL, DS DNA HY-BRIDO-MA
1A2'CL, DNA
192VH15'CL, MIR
9-3A9'CL, AN-IT DOU-BLE STRAND-ED DNA
17p.101'CL, DNA
SW6-3'CL, DNA
192VH25'CL, MIR
111.109'CL, DNA
MRL2-98'CL, SS-D-NA  HO-MO-GE-NEOUS NU-CLE-AR
17s.23'CL, DNA
T15-42'CL, DNA AU-TOAN-TI-BODY
s4D5'CL, SS-D-NA CAR-DI-OLIPIN AU-TOAN-TI-BODY
163.1'CL, DNA
BV17-45'CL, DS-D-NA  94%   SS-D-NA  45%   POLY DA
PL2-1'CL, SUB-NU-CLE-O-SOMES  H2A H2B DNA
17s.93g'CL, DNA
BKV22'CL, DNA
F12.34D8'CL, DS-D-NA
MRL1-50'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
MRL-DNA4'CL, DNA AU-TOAN-TI-BODY
NZB/NZW-6'CL, DNA
F2-21'CL, DNA
MRL2-169'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
17s.74'CL, DNA
448.9G.F1'CL, SS-D-NA DS-D-NA TETANUS TOX-OID
84-18'CL, DNA
27.3EIa'CL, DNA  ACTIN  MYOSIN  THY-ROGLOB-U-LIN  IGG
1H12.3'CL, DS-D-NA
424.F6.24'CL, SS-D-NA
MRL3-14'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
10F1.4'CL, HI-S-T-ONE 2A HI-S-T-ONE 2B DNA SUB-NU-CLE-O-SOME
3G9'CL, DNA
F7.48B7'CL, DS-D-NA
BWGB9F9'CL, DS-D-NA
RH-14'CL, DNA
MRL3-55'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
BKD12'CL, DS-D-NA
scFv195'CL, MIR
NZB/NZW-13'CL, DNA
BXW-14'CL, DNA AU-TOAN-TI-BODY HY-BRIDO-MA
74.122'CL, DNA
17p.3'CL, DNA
C8.5'CL, DS-D-NA
6O'CL, DNA
KIM46L'CL, DNA HY-BRIDO-MA
PV11'CL, DS-D-NA AU-TOAN-TI-BODY
NP15-1'CL, DNA
202.9'CL, DNA
SP10-1'CL, DNA
BA149A-2'CL, DS-D-NA
16/6'CL, DNA
BA129B-1'CL, DS-D-NA
T33-14'CL, DNA AU-TOAN-TI-BODY
MRL1-17'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
165.49'CL, DNA
30'CL, DNA AU-TOAN-TI-BODY
57'CL, DS-D-NA
UC'CL, MYELIN SS-D-NA
8C3.2'CL, DS-D-NA
46'CL, DS-D-NA
NZW12F7'CL, DS-D-NA
s5D4'CL, SS-D-NA CAR-DI-OLIPIN AU-TOAN-TI-BODY
