22.8'CL, POLY GLU60 ALA30 TYR10  HY-BRIDO-MA
1E9'CL,  NANP  3 DO-DE-CAPEP-TIDE
G5 BB 2.2 (AB1), POLY GLU60 ALA30 TYR10  BALB C HY-BRIDO-MA
23-52D4, ARS
23-4B1, ARS
2E7'CL,  NANP  3 DO-DE-CAPEP-TIDE
G8 AD 3.8, POLY GLU60 ALA30 TYR10  BALB C HY-BRIDO-MA
C55-8D10'CL, POLY D L ALA POLY L LYS HY-BRIDO-MA
C95-5A1'CL,  TYR GLU  ALA LYS
C80-4E12'CL, POLY D L ALA POLY L LYS HY-BRIDO-MA
A.22'CL, ARS
C95-4F10'CL,  TYR GLU  ALA LYS
ANTI-TGAL 17'CL, BRANCHED POLY L  TYR GLU  POLY D L ALA POLY L LYS HY-BRIDO-MA
H51.5.2, POLY GLU60 ALA30 TYR10  BALB C X DBA 2 HY-BRIDO-MA
F17.170.2, POLY GLU60 ALA30 TYR10  HY-BRIDO-MA
S1-1F4'CL, POLY L  TYR GLU  POLY D L ALA  POLYL LYS HY-BRIDO-MA
PC49'CL, PS1C-T3
PC287'CL, PSIC-T3
C16-11D11'CL, POLY L  TYR GLU  POLY D L ALA  POLYL LYS HY-BRIDO-MA
2A10'CL,  NANP  3 DO-DE-CAPEP-TIDE
14-2D8, ARS
PC43'CL, PS1C-T3
PC281'CL, PSIC-T3
C80-3E12'CL, POLY D L ALA POLY L LYS HY-BRIDO-MA
C94-4B11'CL,  TYR GLU  ALA LYS
S8'CL, ARS
C23B-10C10'CL, POLY D L ALA POLY L LYS HY-BRIDO-MA
24-5E1, ARS
MS1-1E10'CL, POLY D L ALA POLY L LYS HY-BRIDO-MA
14-16H2, ARS
14-3E12, ARS
F17.59.2'CL, GLU-TAMY-LALANYL-TY-RO-SYL POLYPEP-TIDE HY-BRIDO-MA
C96-6D7'CL,  TYR GLU  ALA LYS
C55-7E3'CL, POLY D L ALA POLY L LYS HY-BRIDO-MA
23-54H8, ARS
mAb A''CL, CY-CLOSPORINE
624'CL, MEP 1 17 31 PEP-TIDE
mAb D'CL, CY-CLOSPORINE
BPPII-5.1'CL, BOV-INE PAN-CRE-AT-IC POLYPEP-TIDE
TE-32'CL, CHOLERA TOX-IN PEP-TIDE 3
609'CL, MEP 1 17 31 PEP-TIDE
604'CL, MEP 1 17 31 PEP-TIDE
NPYII-1.2'CL, NEU-ROPEP-TIDE Y
mAb E''CL, CY-CLOSPORINE
ANTI-ID mAb 114'CL, ID-IO-TYP-IC AN-TI-BODY AGAINST CY-CLOSPORINE MAB R45 45 11
mAb C'CL, CY-CLOSPORINE
BPPI-6.4'CL, BOV-INE PAN-CRE-AT-IC POLYPEP-TIDE
605'CL, MEP 1 17 31 PEP-TIDE
626'CL, MEP 1 17 31 PEP-TIDE
mAb D''CL, CY-CLOSPORINE
mAb B'CL, CY-CLOSPORINE
mAb G'CL, CY-CLOSPORINE
NPYII-287.3'CL, NEU-ROPEP-TIDE Y
mAb C''CL, CY-CLOSPORINE
