21/7'CL, AU-TO ID-IO-TYP-IC DE-TER-MI-NANT  ID R  ON MAB 28 12
L77'CL, HU-MAN CD4
A17'CL, IG-G1 MON-O-CLON-AL AU-TOAN-TI-BODY  RHEUMA-TOID FAC-TOR
RF-ET11'CL, RHEUMA-TOID FAC-TOR
1B5'CL, FE-CAL BAC-TE-RIA
Clone F'CL, RHEUMA-TOID FAC-TOR WHICH BOUND SPECIF-I-CAL-LY TO MRL IG-G2A AL-LO-TYPE  IGH 1J  BUT NOT B6 IG-G2A AL-LO-TYPE  IGH 1B
6-4'CL, IG-G2A
1-5F6'CL, SM HY-BRIDO-MA
25G07, LYSOZYME HY-BRIDO-MA
GER, MON-O-CLON-AL CRY-OIM-MUNOGLOB-U-LIN
bkv7'CL, IGG POLY-CLON-AL RHEUMA-TOID FAC-TOR
SA-4A'CL, TITIN AU-TOAN-TI-BODY
126TP6H'CL, THY-ROID PER-OX-I-DASE  TPO
1E8'CL, BO-TULINUM NEU-RO-TOX-IN TYPE A BIND-ING DO-MAIN  BONT A HC
Ab1 GA733'CL, HU-MAN TU-MOR AS-SO-CI-AT-ED ANTI-GEN GA733
B/SB5-72'CL, H4
305'CL, IN-SULIN
34-3C'CL, MOUSE RED BLOOD CELL AU-TOAN-TI-BOD-IES
Vl FUR2'CL, LAMIN B AU-TOAN-TI-BODY
Hb-3, FOETAL HAEMOGLOBIN  HBF
2F6F2'CL, TG
VH FUR2'CL, LAMIN B AU-TOAN-TI-BODY
RF-ET9'CL, RHEUMA-TOID FAC-TOR
D15'CL, RH D
TB-1-P7'CL, RHEUMA-TOID FAC-TOR
1-18'CL, SM HY-BRIDO-MA
RF4-3FK'CL, IG-G1
3B12-3'CL, 88 KDA SPLIC-ING FAC-TOR 53 4
BrM4'CL, E. COLI  BROME-LAIN TREAT-ED MOUSE RBC  TRIMETHY-LAM-MO-NI-UM HY-BRIDO-MA
G10-1'CL, HU-MAN CD8
3G2'CL, SM HY-BRIDO-MA
A12'CL, IG-G1 MON-O-CLON-AL AU-TOAN-TI-BODY  RHEUMA-TOID FAC-TOR
2INL2'CL, HU-MAN IN-SULIN
7F'CL, THY-ROID PER-OX-I-DASE AU-TOAN-TI-BODY
RF-TMC'CL, MONORE-AC-TIVE RHEUMA-TOID FAC-TOR
