36.5.7Bu'CL, AL-PHA 1 6 DEX-TRAN
14.7.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
SC8'CL, MCPS
F6H3'CL, DEX-TRAN B512
A5.B12.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
42.5D4.2'CL, AL-PHA 1 6 DEX-TRAN
SC7'CL, MCPS
27.7.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
F4B6'CL, DEX-TRAN B512
DN2'CL, MCPS
SC3'CL, MCPS
42.4B.12.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
HDEX5, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
58.2C.10.3'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
40-50'CL, DIGOX-IN
35-20, DIGOX-IN
27.10.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
27.4b.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
F1A5'CL, DEX-TRAN B512
mAb5.G3'CL, N ACETYL BE-TA D GLU-COSAM-INE  THE DOM-I-NANT EPI-TOPE OF THE GROUP A STREP-TO-COC-CAL CAR-BO-HY-DRATE
3.2.3E5'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
SC11'CL, MCPS
42.8E.9.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
J558, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN
2.31.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
17-9'CL, DEX-TRAN B512
F1C1'CL, DEX-TRAN B512
42.8G.4.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
F16B3'CL, DEX-TRAN B512
HDEX4, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
4.3.6F8'CL, AL-PHA 1 6 DEX-TRAN
DN3'CL, MCPS
1C10'CL, DIGOX-IN
SC4'CL, MCPS
SC12'CL, MCPS
9.14.7'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
45.21.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
HDEX9, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
59.1G2.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
42.7C.11.2'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
19.22.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
DN11'CL, MCPS
26-10VH'CL, DIGOX-IN
DN8'CL, MCPS
4.3F1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
