I'CL, 2 PHENY-LOX-A-ZOL 5 ONE
1-30'CL, PHOS-PHO-CHOLINE PRO-TEIN  P NI-TRO-PHENYL PHOS-PHO-CHOLINE
252.8G3, PHOS-PHO-RYL-CHOLINE  S.P-NEU-MO-NI-AE STR. R36A  HY-BRIDO-MA
Day 2 15-167-5'CL, 2 PHENYL 5 OX-A-ZOL-ONE
FF29-36-15'CL, P AZOPHENY-LAR-SON-ATE
HIV-b5'CL, HIV 1 GP120
KIM46H'CL, DNA HY-BRIDO-MA
FS6, VH4 34
A.4.6.1, HU-MAN VAS-CU-LAR EN-DOTHE-LIAL GROWTH FAC-TOR  VEGF
10/9'CL, MON-O-CLON-AL AN-TI-ID-IO-TYP-IC AN-TI-BODY IDA10 HY-BRIDO-MA
I15'CL, RH D
NQ5 96.2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MGC23'CL, NU-CLE-O-SOME
AD8/11'CL, ERY-THRO-CYTE RH D
Mb_26-H'CL, DINI-TRO-PHENYL
FS11, VH4 34
EL-5'CL, FAC-TOR VI-II
AF1'CL, TO-BAC-CO MO-SA-IC VIRUS PRO-TEIN HY-BRIDO-MA
MMW.4.12'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
La 55-H'CL, DNP
43SNQP26, 2 PHENY-LOX-A-ZOL-ONE
mAb1.C8'CL, N ACETYL BE-TA D GLU-COSAM-INE  THE DOM-I-NANT EPI-TOPE OF THE GROUP A STREP-TO-COC-CAL CAR-BO-HY-DRATE  & HU-MAN CAR-DIAC MYOSIN
Ha1'CL, DISIALO-SYL
C488-32B'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
PL2-8'CL, SUB-NU-CLE-O-SOMES  H2A H2B DNA
79'CL, DS-D-NA
HIV-LC11'CL, HIV 1 GP120
NQ7 5.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
FK-001'CL, PSEU-DOMONAS AERUG-I-NOSA EX-O-TOX-IN A HY-BRIDO-MA
SC6'CL, MCPS
B7H9'CL, TETANUS TOX-OID
2G5'CL, BO-TULINUM NEU-RO-TOX-IN TYPE A BIND-ING DO-MAIN  BONT A HC
73-2'CL, DNA
scFv-4C1'CL, SCOR-PI-ON TOX-IN AAHII
KO3-335'CL, ID-IO-TYPE OF HLA DQ3 AN-TI-BODY
IgMGAS'CL, COLD AG-GLU-TININ OF GD SPECI-FICI-TY
B-B10 M0'CL, HU-MAN IL 2 RE-CEP-TOR
126AK'CL, THY-ROID PER-OX-I-DASE  TPO
SiP008'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
K (VH36-60)'CL,  T G  A  L
7E5'CL, CRYP-TO-COC-CUS NE-O-FOR-MANS POLY-SAC-CHA-RIDE  SEROP-TYPE A
17s.166'CL, DNA
RF-TMC1'CL, RHEUMA-TOID FAC-TOR AU-TOAN-TI-BODY
cAbAMD7, AL-PHA AMY-LASE
11E6'CL, EAR-LY NU-CLE-O-SOME AU-TOAN-TI-BODY  KD = 2.1X10-EXP 8
SiP011'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
D20'CL, RH D
PL2-2'CL, SUB-NU-CLE-O-SOMES  H2A H2B DNA
HUM1A1L1'CL, KIM11.4
La 71-H'CL, DNP
2E3'CL, DNA
3.A290'CL, DNA AU-TOAN-TI-BODY.
D5, DNA
CBA/J 7C6, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA BIND-ING CON-STAN-T=12.0X10-EX-P5
BR1'CL, GM1 GAN-GLIO-SIDE
G2b-2'CL, PHOS-PHO-RYL-CHOLINE KEY-HOLE LIMPET HEMO-CYANIN
15'CL, DS-D-NA
RF-DI3'CL, RHEUMA-TOID FAC-TOR
X211'CL, PHOS-PHO-CHOLINE PRO-TEIN  P NI-TRO-PHENYL PHOS-PHO-CHOLINE
HuCC49'CL, TU-MOR AS-SO-CI-AT-ED GLY-CO-PRO-TEIN 72  TAG 72
Ann2'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
J606, BE-TA 2 1 FRUC-TOSAN
H37-45'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HY-BRIDO-MA
2C5'CL, MOUSE CY-TOCHROME C AROUND RESIDUE 62
HA-9'CL, ERY-THRO-CYTE
PE21'CL, HU-MAN PROENKEPHALIN  A NEU-ROPEP-TIDE PRE-CUR-SOR
MRL3-45'CL, DNA
AP.2.9'CL, HIV 1 GP120 V3 LOOP
265.15D4'CL, PHOS-PHO-RYL-CHOLINE  P. MOR-GANII  HY-BRIDO-MA
120, MI-CRO-COC-CUS LYSODEIK-TI-CUS
CAL-9'CL, CAR-DI-OLIPIN
BMA 031 VL'CL, HU-MAN TCR AL-PHA BE-TA
B17-2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
1F1'CL, BO-TULINUM NEU-RO-TOX-IN TYPE A BIND-ING DO-MAIN  BONT A HC
H1-27'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
64.8DI'CL, DNA
224.2B11'CL, PHOS-PHO-RYL-CHOLINE  S.P-NEU-MO-NI-AE STR. R36A  HY-BRIDO-MA
Ga_20-H'CL, DINI-TRO-PHENYL
CLONE 4D5'CL, HU-MAN RED BLOOD CELL
Ib-12-H'CL, DINI-TRO-PHENYL
C03'CL, RH D
VM113'CL, PR8  H1N1  VIRUS VARI-ANT  PY102 V1
RF-1 PAN'CL, IGG PAN RHEUMA-TOID FAC-TOR
33'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
RF-1'CL, IG-G1 RHEUMA-TOID FAC-TOR
HDEX1, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
MOR83'CL, MOR-PHINE
SiP002'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
10.16.1'CL, AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
HB4C5'CL, HU-MAN LUNG ADE-NO-CAR-CI-NO-MA
180.2B2'CL, PHOS-PHO-RYL-CHOLINE  P. MOR-GANII  HY-BRIDO-MA
NQT17/8A'CL, 2 PHENY-LOX-A-ZOL-ONE
LWA10'CL, B CELL AU-TOAN-TI-BODY
48SNQP115, 2 PHENY-LOX-A-ZOL-ONE
CH9'CL, BROME-LAIN TREAT-ED MOUSE ERY-THRO-CYTES
DN13'CL, MCPS
CH12'CL, SHEEP AND CHICK-EN RBC
M2 191'CL, MOUSE TYPE II COL-LA-GEN
MEAT16'CL, FLU-O-RES-CEIN
NQ10.4.6.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
2A1-63'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
66.3E3'CL, GROUP A STREP-TO-COC-CAL CAR-BO-HY-DRATE HY-BRIDO-MA
M22'CL, HU-MAN HIGH BIND-ING AFFIN-I-TY RE-CEP-TOR FOR FC OF IGG  FC-GRI
