tat16/31'CL, HIV I TAT
SV5-P-k'CL, SIMI-AN VIRUS 5 PHOS-PHO  P  PRO-TEIN PEP-TIDE 98 IP-N-PLL-GLD 106
HIV-HC1'CL, HIV 1 GP120
402B-D3, HIV GP120 V3 LOOP  K OFF = 4.0 X 10-EXP 4 SEC 1
L81'CL, HIV 1 GP120
402C-D6, HIV GP120 V3 LOOP  K OFF = 4.0 X 10-EXP 4 SEC 1
HIV-LC3'CL, HIV 1 GP120
HIV-HC11'CL, HIV 1 GP120
ToP016'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
HIV-b14'CL, HIV 1 GP120
1F6'CL, PRE S2 RE-GION OF HEP-ATI-TIS B VIRUS
ToPG437'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SiP005'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
p4H9.1'CL, HER-PES-VIRUS 1
120-16'CL, HIV TYPE 1 SPE-CIF-IC FOR AMINO ACIDS 644 663 OF GP41
PC3741'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ
10L-126-7'CL, AMINOPHENYL BE-TA N ACETYL-GLU-COSAMINIDE  A PR 8 34 IN-FLUEN-ZA VIRUS
MN215'CL, V3 DO-MAIN OF HIV 1 GP120.
ToP305'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
MD2F4'CL, HIV 1
12/231/93'CL, HEP-ATI-TIS B VIRUS X PRO-TEIN
GP44'CL, CD4 BIND-ING SITE OF HIV 1 GP120.
H280-15'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
M77'CL, HIV 1 GP120 V3 LOOP  GP-GRAF
402L-E12, HIV GP120 V3 LOOP  K OFF = 2.2 X 10-EXP 4 SEC 1
CB20'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
