C488-31H'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
Lb 10-H'CL, ANTI-DNP
1P2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT<7X10EXP4)
A.22'CL, ANTI-ARS
FF29-36-15'CL, ANTI-P-AZOPHENYLARSONATE
Na 77-H'CL, ANTI-DNP
Ma_18-H'CL, ANTI-DINITROPHENYL
AN02, ANTI-DINITROPHENYL HYBRIDOMA
Mb_10-H'CL, ANTI-DINITROPHENYL
Na 65-H'CL, ANTI-DNP
48'CL, ANTI-P-AZOPHENYLARSONATE-KEYHOLE LIMPET HEMOCYANIN
2C2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=5.9X10EXP6)
Jb_17-H'CL, ANTI-DINITROPHENYL
Mb_26-H'CL, ANTI-DINITROPHENYL
La 71-H'CL, ANTI-DNP
anti-DigA'CL, ANTI-DIGOXIGENIN
A5B9'CL, ANTI-ALPRENOLOL HYBRIDOMA
KSe2B6'CL, ANTI-FLUORESCEIN
La 69-H'CL, ANTI-DNP
HV14G2'CL, ANTI-FLUORESCEIN
SE1.3'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA
EF2H10'CL, ANTI-FLUORESCEIN
Mb_48-H'CL, ANTI-DINITROPHENYL
hVH65-212'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=3.6X10EXP6)
F14'CL, ANTI-ARS
Na 11-H'CL, ANTI-DNP
95.B3'CL, ANTI-FLUORESCEIN
Ma_34-H'CL, ANTI-DINITROPHENYL
637'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
BALB/C 1210.7, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA
RZ5-8 'CL, ANTI-EPSILON-DNP-AMINOCAPROATE(BINDING CONSTANT=5.0X10EXP6)
C488-32B'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
Mb_59-H'CL, ANTI-DINITROPHENYL
Ib_06-H'CL, ANTI-DINITROPHENYL
Ca_15-H'CL, ANTI-DINITROPHENYL
ABA2'-6'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=1X10EXP7)
9-40'CL, ANTI-FLUORESCEIN (KA=3.7X10EXP7)
mAb1.C8'CL, ANTI-N-ACETYL-BETA-D-GLUCOSAMINE (THE DOMINANT EPITOPE OF THE GROUP A STREPTOCOCCAL CARBOHYDRATE) & ANTI-HUMAN CARDIAC MYOSIN
Jc_17-H'CL, ANTI-DINITROPHENYL
Mb_60-H'CL, ANTI-DINITROPHENYL
Mb_06-H'CL, ANTI-DINITROPHENYL
3F29-4-12'CL, ANTI-P-AZOPHENYLARSONATE
C043'CL, ANTI-NITROPHENYL
70'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
MEAT16'CL, ANTI-FLUORESCEIN
T210'CL, ANTI-NITROPHENYL
Ib-12-H'CL, ANTI-DINITROPHENYL
Ga_20-H'CL, ANTI-DINITROPHENYL
La 55-H'CL, ANTI-DNP
MOR115'CL, ANTI-MORPHINE
66'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
C488-19E'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
MOR83'CL, ANTI-MORPHINE
14-35A1, ANTI-ARS
3-13'CL, ANTI-FLUORESCEIN (KA=5.0X10EXP4)
