KIM46H'CL, ANTI-DNA HYBRIDOMA
PL2-8'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
73-2'CL, ANTI-DNA
17s.166'CL, ANTI-DNA
PL2-2'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
2E3'CL, ANTI-DNA
3.A290'CL, ANTI-DNA AUTOANTIBODY.
D5, ANTI-DNA
MRL3-45'CL, ANTI-DNA
64.8DI'CL, ANTI-DNA
BW24-28'CL, ANTI-DNA
84-20'CL, ANTI-DNA
NP11-1'CL, ANTI-DNA
202.33'CL, ANTI-DNA
NP5-1'CL, ANTI-DNA
3E12'CL, ANTI-DNA
BW24-P18'CL, ANTI-DNA
Ig5-3'CL, ANTI-DNA
Z22'CL, ANTI-Z-DNA
1/17'CL, ANTI-DNA AUTOANTIBODY HYBRIDOMA
74.119'CL, ANTI-DNA
4D5'CL, ANTI-DNA
163.42'CL, ANTI-DNA
B62.H'CL, ANTI-DNA,POLY(DG)
165.27'CL, ANTI-DNA
AKR-6'CL, ANTI-DNA
BKD17'CL, ANTI-DNA
IC4'CL, ANTI-DNA
202.54'CL, ANTI-DNA
T33-2'CL, ANTI-DNA
BW9-7'CL, ANTI-DNA
AKR-8'CL, ANTI-DNA
84-32'CL, ANTI-DNA
