1-30'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
252.8G3, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
FF29-36-15'CL, ANTI-P-AZOPHENYLARSONATE
FS6, ANTI-VH4-34
A.4.6.1, ANTI-HUMAN VASCULAR ENDOTHELIAL GROWTH FACTOR (VEGF)
10/9'CL, ANTI-MONOCLONAL ANTIIDIOTYPIC ANTIBODY IDA10 HYBRIDOMA
I15'CL, ANTI-RH(D)
MGC23'CL, ANTI-NUCLEOSOME
AD8/11'CL, ANTI-ERYTHROCYTE RH(D) 
Mb_26-H'CL, ANTI-DINITROPHENYL
FS11, ANTI-VH4-34
EL-5'CL, ANTI-FACTOR VIII
AF1'CL, ANTI-TOBACCO MOSAIC VIRUS PROTEIN HYBRIDOMA
La 55-H'CL, ANTI-DNP
mAb1.C8'CL, ANTI-N-ACETYL-BETA-D-GLUCOSAMINE (THE DOMINANT EPITOPE OF THE GROUP A STREPTOCOCCAL CARBOHYDRATE) & ANTI-HUMAN CARDIAC MYOSIN
Ha1'CL, ANTI-DISIALOSYL
C488-32B'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
79'CL, ANTI-DSDNA
FK-001'CL, ANTI-PSEUDOMONAS AERUGINOSA EXOTOXIN A HYBRIDOMA
SC6'CL, ANTI-MCPS
B7H9'CL, ANTI-TETANUS TOXOID
2G5'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
scFv-4C1'CL, ANTI-SCORPION TOXIN AAHII
KO3-335'CL, ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
IgMGAS'CL, COLD AGGLUTININ OF ANTI-GD SPECIFICITY
B-B10 M0'CL, ANTI-HUMAN IL-2 RECEPTOR
126AK'CL, ANTI-THYROID PEROXIDASE (TPO)
SiP008'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
K (VH36-60)'CL, ANTI-(T,G)-A--L
7E5'CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
RF-TMC1'CL, RHEUMATOID FACTOR AUTOANTIBODY
cAbAMD7, ANTI-ALPHA-AMYLASE
11E6'CL, EARLY ANTI-NUCLEOSOME AUTOANTIBODY (KD = 2.1X10EXP-8)
SiP011'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
D20'CL, ANTI-RH(D)
La 71-H'CL, ANTI-DNP
CBA/J 7C6, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=12.0X10EXP5)
