HuRSV19VHFNS, ANTI-HUMAN RESPIRATORY SYNCYTIAL VIRUS
SiP008'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
FS6, ANTI-VH4-34
rev9Fd'CL, ANTI-HIV I REV
mAb107'CL, ANTI-RABIES VIRUS
VM113'CL, ANTI-PR8 (H1N1) VIRUS VARIANT (PY102-V1)
FS11, ANTI-VH4-34
HT, ANTI-VH4-34
H220-25'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOM
17/9'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HA1 (RESIDUES 75-110) HYBRIDOMA
H220-3'CL, ANTI-INFLUENZA VIRUS (A/PR/8/34) HEMAGGLUTININ SECONDARY ANTIBODI
H144-17C5'CL, ANTI-CA/CB SITE OF INFLUENZA VIRUS A/PR/8/34 HEMAGGLUTININ (PR8 H
H37-45'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
H18-S415'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
H28-A2'CL, ANTI-INFLUENZA VIRUS HEMAGGLUTININ HYBRIDOMA
AF1'CL, ANTI-TOBACCO MOSAIC VIRUS PROTEIN HYBRIDOMA
ITC48'CL, ANTI-MAJOR NEUTRALIZATION DETERMINANT (AD-1) OF HUMAN CYTOMEGALOVIRUS GLYCOPROTEIN B (GP58/116)
36-5'CL, ANTI-INFLUENZA VIRUS (A/PR/8/34) HEMAGGLUTININ
AC21'CL, ANTI-HUMAN CYTOMEGALOVIRUS (CMV) MEMBRANE GLYCOPROTEIN GP58/116 (GB) AD2 EPITOPE, RESIDUES 67 TO 86 OF GP116


