252.8G3, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
CBA/J 7C6, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=12.0X10EXP5)
G2b-2'CL, ANTI-PHOSPHORYLCHOLINE-KEYHOLE LIMPET HEMOCYANIN
265.15D4'CL, ANTI-PHOSPHORYLCHOLINE (P. MORGANII) HYBRIDOMA
224.2B11'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
180.2B2'CL, ANTI-PHOSPHORYLCHOLINE (P. MORGANII) HYBRIDOMA
G01, ANTI-LYSOZYME HYBRIDOMA
A2/69'CL, ANTI-IDIOTOPE HYBRIDOMA
221.2D10'CL, ANTI-PHOSPHORYLCHOLINE (P.MORGANII) HYBRIDOMA
1-8'CL, ANTI-SM HYBRIDOMA
A5B9'CL, ANTI-ALPRENOLOL HYBRIDOMA
7-13'CL, ANTI-SM HYBRIDOMA
56-1'CL, ANTI-PHOSPHORYLCHOLINE-KEYHOLE LIMPET HEMOCYANIN
SE1.3'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA
Y2''CL, ANTI-SM HYBRIDOMA
BS1z63'CL, ANTI-PHOSPHORYLCHOLINE
5B5'CL, ANTI-SM HYBRIDOMA
3-56'CL, ANTI-SM HYBRIDOMA
252.5E10'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
HPCM2, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=3.5X10EXP5)
aPC-51-1'CL, ANTI-PHOSPHORYLCHOLINE COUPLED TO KLH AND BSA HYBRIDOMA (GROUP I)
BALB/C 1210.7, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA
B04, ANTI-LYSOZYME HYBRIDOMA
D06, ANTI-LYSOZYME HYBRIDOMA
1-12'CL, ANTI-SM HYBRIDOMA
P28'CL, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA
25C10, ANTI-LYSOZYME HYBRIDOMA
71-2H11'CL, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA
99D.7E'CL, ANTI-DSDNA, ANTI-PHOSPHORYLCHOLINE
BSb58'CL, ANTI-PHOSPHORYLCHOLINE
224.7E7'CL, ANTI-PHOSPHORYLCHOLINE (S.PNEUMONIAE STR. R36A) HYBRIDOMA
129-48'CL, ANTI-IGG HYBRIDOMA
WSd20'CL, ANTI-PHOSPHORYLCHOLINE
AN02, ANTI-DINITROPHENYL HYBRIDOMA
C57BL 23169, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA (BINDING CONSTANT=3.0X10EXP5)
BSc27'CL, ANTI-PHOSPHORYLCHOLINE
