KIM46H'CL, ANTI-DNA HYBRIDOMA
MGC23'CL, ANTI-NUCLEOSOME
La 55-H'CL, ANTI-DNP
Ha1'CL, ANTI-DISIALOSYL
79'CL, ANTI-DSDNA
SC6'CL, ANTI-MCPS
73-2'CL, ANTI-DNA
17s.166'CL, ANTI-DNA
La 71-H'CL, ANTI-DNP
2E3'CL, ANTI-DNA
3.A290'CL, ANTI-DNA AUTOANTIBODY.
D5, ANTI-DNA
15'CL, ANTI-DSDNA
HA-9'CL, ANTI-ERYTHROCYTE
MRL3-45'CL, ANTI-DNA
CAL-9'CL, ANTI-CARDIOLIPIN
64.8DI'CL, ANTI-DNA
MOR83'CL, ANTI-MORPHINE
DN13'CL, ANTI-MCPS
MEAT16'CL, ANTI-FLUORESCEIN
BW24-28'CL, ANTI-DNA
2-7'CL, ANTI-IGG2A
84-20'CL, ANTI-DNA
64-32E4, ANTI-ARS
PC2811'CL, ANTI-PSICT3
F1, ANTI-MESOTHELIN
F12.40D3'CL, ANTI-DSDNA
544'CL, ANTI-P601E
163.24, ANTI-P53
MRA1K'CL, ANTI-HISTONE
NP11-1'CL, ANTI-DNA
4-4'CL, ANTI-IGG2A
202.33'CL, ANTI-DNA
KSe2B6'CL, ANTI-FLUORESCEIN
AL3-7'CL, ANTI-POLYCATION
RF9-11K'CL, ANTI-IGG1
DN7'CL, ANTI-MCPS
NP5-1'CL, ANTI-DNA
3E12'CL, ANTI-DNA
EF2H10'CL, ANTI-FLUORESCEIN
BW24-P18'CL, ANTI-DNA
SC9'CL, ANTI-MCPS
DP-7, ANTI-P53
Ig5-3'CL, ANTI-DNA
Z22'CL, ANTI-Z-DNA
mAb13'CL, ANTI-INSULIN
HV14G2'CL, ANTI-FLUORESCEIN
163.5, ANTI-P53
Na 77-H'CL, ANTI-DNP
33.1.C2'CL, ANTI-CD5
5-7'CL, ANTI-IGG2A
h60.3'CL, ANTI-CD18
40-120, ANTI-DIGOXIN
1/17'CL, ANTI-DNA AUTOANTIBODY HYBRIDOMA
BA1224-2'CL, ANTI-DSDNA
14-35A1, ANTI-ARS
RF3-5K'CL, ANTI-IGG1
AL3-6'CL, ANTI-POLYCATION
74.119'CL, ANTI-DNA
Na 65-H'CL, ANTI-DNP
3A9'CL, ANTI-GALACTOSYLGLOBOSIDE
La 69-H'CL, ANTI-DNP
4D5'CL, ANTI-DNA
B/SB5-84'CL, ANTI-H4
303'CL, ANTI-INSULIN
BKV1'CL, ANTI-DSDNA
95.B3'CL, ANTI-FLUORESCEIN
2-12'CL, ANTI-SM
NZA2'CL, ANTI-NUCLEOSOME
163.42'CL, ANTI-DNA
A.22'CL, ANTI-ARS
MOR115'CL, ANTI-MORPHINE
25C1'CL, ANTI-CD19
SC10'CL, ANTI-MCPS
40-140, ANTI-DIGOXIN
PC46'CL, ANTI-PS1CT3
SC2'CL, ANTI-MCPS
129, ANTI-PHOSPHOTYROSYLPROTEIN
B62.H'CL, ANTI-DNA,POLY(DG)
165.27'CL, ANTI-DNA
163.1, ANTI-P53
AKR-6'CL, ANTI-DNA
anti-DigA'CL, ANTI-DIGOXIGENIN
BKD17'CL, ANTI-DNA
11-50'CL, ANTI-LACTOTETRAOSYLCERAMIDE
IC4'CL, ANTI-DNA
Na 11-H'CL, ANTI-DNP
m54S/N, ANTI-IDIOTYPIC
GAR, ANTI-RIBOFLAVIN
ST40'CL, ANTI-CD4
202.54'CL, ANTI-DNA
BKV22'CL, ANTI-DSDNA
T33-2'CL, ANTI-DNA
163.16, ANTI-P53
BW9-7'CL, ANTI-DNA
AKR-8'CL, ANTI-DNA
163.23, ANTI-P53
BW16B2'CL, ANTI-DSDNA
A9'CL, ANTI-GP41
PA3'CL, ANTI-CHROMATIN
NZW11F7'CL, ANTI-DSDNA
BKV22'CL, ANTI-DSDNA
F8, ANTI-MESOTHELIN
F14'CL, ANTI-ARS
F2'CL, ANTI-MELANOMA
84-32'CL, ANTI-DNA
m15.23, ANTI-IDIOTYPIC
Lb 10-H'CL, ANTI-DNP
