SiP008'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
7E5'CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
SiP011'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
Ann2'CL, ANTI-POLYSACCHARIDE OF HEMOPHILUS INFLUENZAE TYPE B
J606, ANTI-BETA 2,1 FRUCTOSAN
BMA 031 VL'CL, HUMAN TCR-ALPHA/BETA
HDEX1, ANTI-ALPHA 1,3 ALPHA 1,6 DEXTRAN HYBRIDOMA
SiP002'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
10.16.1'CL, ANTI-ALPHA 1,6 DEXTRAN HYBRIDOMA
ToPA210'CL, ANTI-HAEMOPHILUS INFLUENZAE TYPE B CAPSULAR POLYSACCHARIDE
XRPC44, ANTI-BETA 1,6 D-GALACTAN
42.7B3.2a'CL, ANTI-ALPHA 1,6 DEXTRAN
ToP249'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
HDEX7, ANTI-ALPHA 1,3 ALPHA 1,6 DEXTRAN HYBRIDOMA
SiP016'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
EPC109, ANTI-BETA 2,1 FRUCTOSAN (BINDING CONSTANT=6.6X10EXP5)
mAb735, ANTI-ALPHA(2,8)POLYSIALIC ACID
A32'CL, ANTI-B-TYPE CHRONIC LYMPHOCYTIC LEUKEMIA (B-CLL)
10/2'CL, ANTI-GAL ALPHA 1-3 GAL BETA 1-4 GLCNAC-R (BINDING CONSTANT=1.1X10EXP6)
ToP255'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
SOL1'CL, ANTI-HAEMOPHILUS INFLUENZAE TYPE B CAPSULAR POLYSACCHARIDE (HIB PS)
A192'CL, ANTI-B-TYPE CHRONIC LYMPHOCYTIC LEUKEMIA (B-CLL)
ABPC47N, ANTI-BETA 2,1 FRUCTOSAN (BINDING CONSTANT=2.2X10EXP5)
ToP207'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
ToP237'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
ToP101'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
J539, ANTI-BETA 1,6 D-GALACTAN
BC-1004'CL, ANTI-BLOOD GROUP B SUBSTANCE HYBRIDOMA
417.F32.26'CL, MONOREACTIVE
4.8.1'CL, ANTI-ALPHA 1,6 DEXTRAN HYBRIDOMA
HDEX37, ANTI-ALPHA 1,3 ALPHA 1,6 DEXTRAN HYBRIDOMA
SiP003'CL, ANTI-CAPSULAR POLYSACCHARIDE OF HAEMOPHILUS INFLUENZAE TYPE B
1E10''CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
