1-30'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
FF29-36-15'CL, ANTI-P-AZOPHENYLARSONATE
FS6, ANTI-VH4-34
A.4.6.1, ANTI-HUMAN VASCULAR ENDOTHELIAL GROWTH FACTOR (VEGF)
10/9'CL, ANTI-MONOCLONAL ANTIIDIOTYPIC ANTIBODY IDA10 HYBRIDOMA
I15'CL, ANTI-RH(D)
AD8/11'CL, ANTI-ERYTHROCYTE RH(D) 
FS11, ANTI-VH4-34
EL-5'CL, ANTI-FACTOR VIII
AF1'CL, ANTI-TOBACCO MOSAIC VIRUS PROTEIN HYBRIDOMA
mAb1.C8'CL, ANTI-N-ACETYL-BETA-D-GLUCOSAMINE (THE DOMINANT EPITOPE OF THE GROUP A STREPTOCOCCAL CARBOHYDRATE) & ANTI-HUMAN CARDIAC MYOSIN
PL2-8'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
FK-001'CL, ANTI-PSEUDOMONAS AERUGINOSA EXOTOXIN A HYBRIDOMA
B7H9'CL, ANTI-TETANUS TOXOID
2G5'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
scFv-4C1'CL, ANTI-SCORPION TOXIN AAHII
KO3-335'CL, ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
IgMGAS'CL, COLD AGGLUTININ OF ANTI-GD SPECIFICITY
B-B10 M0'CL, ANTI-HUMAN IL-2 RECEPTOR
126AK'CL, ANTI-THYROID PEROXIDASE (TPO)
K (VH36-60)'CL, ANTI-(T,G)-A--L
RF-TMC1'CL, RHEUMATOID FACTOR AUTOANTIBODY
cAbAMD7, ANTI-ALPHA-AMYLASE
11E6'CL, EARLY ANTI-NUCLEOSOME AUTOANTIBODY (KD = 2.1X10EXP-8)
D20'CL, ANTI-RH(D)
PL2-2'CL, ANTI-SUBNUCLEOSOMES (H2A-H2B-DNA)
BR1'CL, ANTI-GM1 GANGLIOSIDE
RF-DI3'CL, RHEUMATOID FACTOR
X211'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
HuCC49'CL, ANTI-TUMOR-ASSOCIATED GLYCOPROTEIN-72 (TAG-72)
2C5'CL, ANTI-MOUSE CYTOCHROME C AROUND RESIDUE 62
PE21'CL, ANTI-HUMAN PROENKEPHALIN, A NEUROPEPTIDE PRECURSOR
120, ANTI-MICROCOCCUS LYSODEIKTICUS
1F1'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
CLONE 4D5'CL, ANTI-HUMAN RED BLOOD CELL
C03'CL, ANTI-RH(D)
VM113'CL, ANTI-PR8 (H1N1) VIRUS VARIANT (PY102-V1)
RF-1 PAN'CL, ANTI-IGG-PAN RHEUMATOID FACTOR
RF-1'CL, ANTI-IGG1 RHEUMATOID FACTOR
HB4C5'CL, ANTI-HUMAN LUNG ADENOCARCINOMA
LWA10'CL, ANTI-B CELL AUTOANTIBODY
CH9'CL, ANTI-BROMELAIN-TREATED MOUSE ERYTHROCYTES
CH12'CL, ANTI-SHEEP AND CHICKEN RBC
M2 191'CL, ANTI-MOUSE TYPE II COLLAGEN
M22'CL, ANTI-HUMAN HIGH BINDING AFFINITY RECEPTOR FOR FC OF IGG (FCGRI)
2E5.G10'CL, ANTI-RAT CYTOCHROME C HYBRIDOMA
2INL11'CL, ANTI-HUMAN INSULIN
3E4, ANTI-DIGOXIN ANTIBODY
SP1.4'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
LN2 346'CL, ANTI-MOUSE TYPE II COLLAGEN
S2B154'CL, ANTI-ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
gammaR38'CL, ANTI-HUMAN INTERFERON GAMMA RECEPTOR
25E12'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
cDNA7-Hul'CL, ANTI-IGG (RHEUMATOID FACTOR)
7D8'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
ASWP1'CL, ANTI-NUCLEOLAR PARTICLES U3, U8
14E1'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
C8'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
B'20 (Humkv328-Jk1)'CL, RHEUMATOID FACTOR
CLONE 4E9'CL, ANTI-HUMAN RED BLOOD CELL
alphaDpX (Dp2B)'CL, ANTI-DER P 2 (HOUSE DUST MITE ALLERGEN)
637'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
RF-TS2'CL, RHEUMATOID FACTOR AUTOANTIBODY
G3D10H'CL, ANTI-GANGLIOSIDE AUTOANTIBODY (GM1, GA1, GALGALNAC-BSA, NLC4, 3-FL-BSA)
SO3'CL, ANTI9-HLA-DQ3
hVH65-212'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=3.6X10EXP6)
S4 5A'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
T2,4'CL, ANTI-HEN BOVINE THYROGLOBULIN
F3F3'CL, ANTI-DEXTRAN B512
HuRSV19VHFNS, ANTI-HUMAN RESPIRATORY SYNCYTIAL VIRUS
TEL16'CL, ANTI-TURKEY EGG-WHITE LYSOZYME
heavy1'CL, ANTI-HUMAN THYROGLOBULIN
IAG-1, ANTI-POLYAMINE, CROSS REACTS WITH SPERMIDINE
Fog-1'CL, ANTI-ERYTHROCYTE RH(D) ALLOANTIGEN
#14'CL, ANTI-LA RNP (RIBONUCLEOPROTEIN)
NEU, CRYOGLOBULIN WITH ANTI-IGG ACTIVITY; B IDIOTYPE (KUNKEL,H.G.,WINCHESTER,R.J.,JOSLIN,F.G. & CAPRA,J.D. (1974) J.EXP.MED.,139,128)
K1B12H'CL, ANTI-GANGLIOSIDE AUTOANTIBODY (GALGALNAC-BSA, 3-FL-BSA)
P168'CL, AUTO-ANTI-IDIOTYPIC DETERMINANT (ID/R) ON MAB 28/12
TNF-H9G1'CL, ANTI-HUMAN TUMOR NECROSIS FACTOR ALPHA
D444'CL, ANTI-RNA AUTOANTIBODY, ANTI-POLY(G,C) HYBRIDOMA
DPC'CL, ANTI-GLUTAMIC ACID DECARBOXYLASE 65
3-2C2'CL, ANTI-CYTOCHROME P450 AROMATASE
VL i.'CL, ANTI-GLUTATHIONE S-TRANSFERASE
2E126'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
PE25'CL, ANTI-HUMAN PROENKEPHALIN, A NEUROPEPTIDE PRECURSOR, PEPTIDE 155DLLKELL161
9E11'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
1C9'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
79.7, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
2S1.3, ANTI-STREPTOCOCCAL GROUP A CARBOHYDRATE, ANTI-BETA-1,3-N-ACETYL-D-GLUCOSAMINE
H6-3C4'CL, ANTI-HUMAN SPERM SURFACE ANTIGEN
VHSM7-13'CL, ANTI-IGG/SMITH RIBONUCLEAR PROTEIN
C5'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
T10-938'CL, ANTI-ANTI-HLA-A2,28 MAB CR11-351 COUPLED TO KEYHOLE LIMPET HEMOCYANIN
C10'CL, ANTI-RH(D)
F12H3'CL, ANTI-DEXTRAN B512
I03'CL, ANTI-RH(D)
S107.U4, ANTI-DOUBLE-STRANDED DNA AND ANTI-PHOSPHORYLCHOLINE-KLH
AC21'CL, ANTI-HUMAN CYTOMEGALOVIRUS (CMV) MEMBRANE GLYCOPROTEIN GP58/116 (GB) AD2 EPITOPE, RESIDUES 67 TO 86 OF GP116
ALN/12/17'CL, ANTI-CHONDROITIN SULPHATE PROTEOGLYCAN NG2, A TUMOR-SPECIFIC ANTIGEN ON THE 3-4 BENZPYRENE-INDUCED RAT CHONDROSARCOMA HSN
T3'CL, ANTI-HEN BOVINE THYROGLOBULIN
193020'CL, ANTI-INSULIN AUTOANTIBODY
RF49B'CL, ANTI-IGG1 MONOCLONAL AUTOANTIBODY (RHEUMATOID FACTOR)
D12'CL, ANTI-RH(D)
126TP10H'CL, ANTI-THYROID PEROXIDASE (TPO)
L25'CL, AUTOANTIBODY
417.F23'CL, POLYREACTIVE
HA1L1'CL, RHEUMATOID FACTOR
MP9'CL, ANTI-HLA CLASS I (A*03)
FON'CL, ANTI-FC IGG
70.1.4'CL, ANTI-DNA, ACTIN, MYOSIN, THYROGLOBULIN
3-13'CL, ANTI-FLUORESCEIN (KA=5.0X10EXP4)
2E1'CL, ANTI-NUCLEOSOME, TOTAL HISTONE, H2A-H2B DIMER
NEO C72-3A1'CL, ANTI-(T,G)-A--L
1P2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT<7X10EXP4)
66'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
HMFG1'CL, ANTI-HUMAN MUCIN
70'CL, ANTI-NICOTINIC ACETYLCHOLINE RECEPTOR
NC19-E11'CL, ANTI-PHOSPHATIDYL CHOLINE
DB1'CL, ANTI-GLYCOPHORIN A
2D3'CL, ANTI-ANTI-ARSONATE ANTIBODY HYBRIDOMA
N25'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
3F29-4-12'CL, ANTI-P-AZOPHENYLARSONATE
AD17'CL, ANTI-ERYTHROCYTE RH(D) 
h'CL, ANTI-IDIOTYPE (EXPRESSED ON THE SURFACE OF NON-HODGKIN'S LYMPHOMA CELLS)
H102'CL, ANTI-SSDNA AUTOANTIBODY
L3 10A'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
B6''CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
RA-2-L2'CL, RHEUMATOID FACTOR
9-40'CL, ANTI-FLUORESCEIN (KA=3.7X10EXP7)
2E50'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
1F5.D1'CL, ANTI-HORSE CYTOCHROME C HYBRIDOMA
MUC1-1'CL, ANTI-HUMAN MUC1 MUCIN (TUMOR ASSOCIATED POLYMORPHIC EPITHELIAL MUCIN) COUPLED TO SEPHAROSE 4B
G11'CL, ANTI-GLYCOPHORIN A
PR-TS2'CL, POLYREACTIVE RHEUMATOID FACTOR
2INL15'CL, ANTI-HUMAN INSULIN
Ab3-2C4'CL, ANTI-MCPS PEPTIDE P3 COMPLEXED WITH PROTEOSOMES, ANTI-IDIOTYPE AB2-6F9
MRL2-14'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
hsiglvl1045'CL, ANTI-RABBIT IGG
L2 1C'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
S9P16'CL, RHEUMATOID FACTOR
5E2'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
L42'CL, AUTOANTIBODY
LUNm03'CL, ANTI-CLASS 5C OUTER MEMBRANE PROTEIN OF NEISSERIA MENINGITIDIS
ABA2'-6'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=1X10EXP7)
23.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
MAC188'CL, ANTI-LDL RECEPTOR
H220-3'CL, ANTI-INFLUENZA VIRUS (A/PR/8/34) HEMAGGLUTININ SECONDARY ANTIBODIES (SB) HYBRIDOMA
NPYI-125.3'CL, ANTI-NEUROPEPTIDE Y
NNA7'CL, ANTI-GLYCOPHORIN A
WO1'CL, ANTI-GM1 GANGLIOSIDE
24'CL, AUTO-ANTI-IDIOTYPIC DETERMINANT (ID/R) ON MAB 28/12
C97-1A4'CL, ANTI-(TYR,GLU)-ALA-LYS
6A5'CL, ANTI-PIGEON CYTOCHROME C AND MOUSE CYTOCHROME C
AZ-20'CL, CATALYTIC OXY-COPE ANTIBODY SPECIFIC FOR A COMMON TRANSITION STATE ANALOG HAPTEN
O25G3D6'CL, ANTI-PSEUDOMONAS AERUGINOSA LIPOPOLYSACCHARIDE O6 O-ANTIGEN
B/SB5-18'CL, ANTI-H2A/H2B
CH1'CL, ANTI-E. COLI
RF-AN'CL, ANTI-IGG FC
23'CL, ANTI-LE X, SIALYL LE X, NLACCER
Vk BEN'CL, ANTI-LAMIN B AUTOANTIBODY
70.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
3-9'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
25F5'CL, ANTI-RH(D)
RF-IP8'CL, RHEUMATOID FACTOR
RZ5-8 'CL, ANTI-EPSILON-DNP-AMINOCAPROATE(BINDING CONSTANT=5.0X10EXP6)
Vl HER2'CL, ANTI-LAMIN B AUTOANTIBODY
CAMPATH-9, ANTI-HUMAN CD4
221.3G5''CL, ANTI-PHOSPHOCHOLINE-SPECIFIC DETERMINANT IN PROTEUS MORGANII
48'CL, ANTI-P-AZOPHENYLARSONATE-KEYHOLE LIMPET HEMOCYANIN
MRL2-146'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
9F2L'CL, ANTI-GANGLIOSIDE AUTOANTIBODY (GALGALNAC-BSA)
65.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
CB 391'CL, ANTI-HUMAN AND MOUSE TYPE II COLLAGEN C1 EPITOPE, RESIDUES 316 TO 333
AZ-3'CL, CATALYTIC OXY-COPE ANTIBODY SPECIFIC FOR A COMMON TRANSITION STATE ANALOG HAPTEN
SO5'CL, ANTI9-HLA-DQ3
MRL2-171'CL, ANTI-SSDNA, ANTI-HOMOGENOUS NUCLEAR
slkv22'CL, ANTI-IGG POLYCLONAL RHEUMATOID FACTOR
MRL1-45'CL, ANTI-SSDNA, ANTI-HOMOGENEOUS NUCLEAR
